,time,reading,Standing,userid
0,1.0,0.01,False,test
1,2.0,0.0,False,test
2,3.0,0.0,False,test
3,4.0,0.0,False,test
4,5.0,0.0,False,test
5,6.0,0.82,True,test
6,7.0,0.76,False,test
7,8.0,0.78,False,test
8,9.0,0.77,False,test
9,10.0,1.05,False,test
10,11.0,1.57,False,test
11,12.0,1.57,True,test
12,13.0,1.57,True,test
13,14.0,1.58,False,test
14,15.0,1.57,False,test
15,16.0,1.58,False,test
16,17.0,1.58,False,test
17,18.0,1.57,False,test
18,19.0,1.57,False,test
19,20.0,1.58,False,test
20,21.0,1.58,False,test
21,22.0,1.6,True,test
22,23.0,2.42,False,test
23,24.0,2.42,True,test
24,25.0,2.43,True,test
25,26.0,2.42,True,test
26,27.0,2.46,True,test
27,28.0,3.2,True,test
28,29.0,3.2,True,test
29,30.0,3.2,False,test
30,31.0,3.2,True,test
31,32.0,3.19,False,test
32,33.0,3.2,True,test
33,34.0,4.02,False,test
34,35.0,4.02,True,test
35,36.0,4.02,True,test
36,37.0,4.03,False,test
37,38.0,4.02,False,test
38,39.0,4.06,True,test
39,40.0,4.92,False,test
40,41.0,4.86,True,test
41,42.0,4.86,True,test
42,43.0,4.86,False,test
43,44.0,4.86,True,test
44,45.0,4.89,True,test
45,46.0,5.68,False,test
46,47.0,5.68,True,test
47,48.0,5.67,False,test
48,49.0,5.67,True,test
49,50.0,5.7,False,test
50,51.0,6.47,False,test
51,53.0,6.47,False,test
52,54.0,6.48,False,test
53,55.0,6.49,True,test
54,56.0,7.32,False,test
55,57.0,7.31,False,test
56,58.0,7.32,False,test
57,59.0,7.36,True,test
58,60.0,8.18,False,test
59,61.0,8.17,False,test
60,62.0,8.17,False,test
61,63.0,8.96,True,test
62,64.0,8.96,False,test
63,65.0,8.96,False,test
64,66.0,10.25,False,test
65,67.0,10.25,True,test
66,68.0,10.24,False,test
67,69.0,10.23,False,test
68,70.0,10.27,False,test
69,71.0,11.17,False,test
70,72.0,11.17,True,test
71,73.0,11.15,False,test
72,74.0,11.24,False,test
73,75.0,12.64,False,test
74,76.0,12.61,False,test
75,77.0,12.6,False,test
76,78.0,12.61,False,test
77,79.0,12.72,False,test
78,80.0,13.49,False,test
79,81.0,13.5,False,test
80,82.0,13.49,False,test
81,83.0,13.5,False,test
82,84.0,13.49,True,test
83,85.0,14.53,True,test
84,86.0,14.93,False,test
85,87.0,14.91,False,test
86,88.0,14.92,False,test
87,89.0,14.96,True,test
88,90.0,14.97,True,test
89,91.0,16.06,False,test
90,92.0,16.06,True,test
91,93.0,16.05,False,test
92,94.0,16.08,False,test
93,95.0,16.43,False,test
94,96.0,17.66,False,test
95,97.0,17.73,True,test
96,98.0,17.69,True,test
97,99.0,17.69,False,test
98,100.0,17.67,True,test
99,101.0,17.85,False,test
100,102.0,17.94,False,test
101,103.0,17.91,False,test
102,104.0,17.91,False,test
103,105.0,17.89,False,test
104,106.0,17.89,False,test
105,107.0,17.89,False,test
106,108.0,18.83,True,test
107,109.0,18.8,False,test
108,110.0,18.8,False,test
109,111.0,18.8,False,test
110,112.0,18.83,False,test
111,113.0,19.8,False,test
112,114.0,19.79,False,test
113,115.0,19.79,False,test
114,116.0,19.79,False,test
115,117.0,19.78,True,test
116,118.0,19.81,False,test
117,119.0,20.71,False,test
118,120.0,20.71,True,test
119,121.0,20.7,False,test
120,122.0,20.72,False,test
121,123.0,22.28,False,test
122,124.0,22.28,False,test
123,125.0,22.27,False,test
124,126.0,22.27,False,test
125,127.0,23.86,False,test
126,128.0,23.85,True,test
127,129.0,23.84,False,test
128,130.0,23.91,True,test
129,131.0,25.41,False,test
130,132.0,25.27,True,test
131,133.0,25.25,False,test
132,134.0,25.26,True,test
133,135.0,25.28,True,test
134,136.0,26.46,False,test
135,137.0,26.39,False,test
136,138.0,26.39,True,test
137,139.0,26.38,False,test
138,140.0,27.48,False,test
139,141.0,27.47,False,test
140,142.0,27.48,False,test
141,143.0,27.97,False,test
142,144.0,28.61,True,test
143,145.0,28.6,False,test
144,146.0,28.64,False,test
145,147.0,29.72,False,test
146,148.0,29.7,True,test
147,149.0,29.71,False,test
148,150.0,30.25,True,test
149,151.0,29.7,False,test
150,152.0,30.18,False,test
151,153.0,30.03,False,test
152,154.0,29.95,False,test
153,155.0,29.94,False,test
154,156.0,29.91,False,test
155,157.0,29.91,True,test
156,158.0,29.89,False,test
157,159.0,29.88,False,test
158,160.0,29.86,False,test
159,161.0,29.88,True,test
160,162.0,29.81,False,test
161,163.0,29.8,False,test
162,164.0,29.81,False,test
163,165.0,29.72,False,test
164,166.0,29.71,False,test
0,1.0,0.0,True,test2
1,2.0,0.0,False,test2
2,3.0,0.0,False,test2
3,4.0,0.0,False,test2
4,5.0,0.0,True,test2
5,6.0,0.1,True,test2
6,7.0,0.14,False,test2
7,8.0,0.15,False,test2
8,9.0,0.2,True,test2
